user_id,timestamp,start_city,start_state,start_country,end_city,end_state,end_country,distance_km,mode_of_transport,purpose
1001,2025-03-04 11:00:00,Shimla,Himachal Pradesh,India,Bhopal,Madhya Pradesh,India,296,Car,Family Visit
1001,2025-03-09 18:00:00,Manali,Himachal Pradesh,India,New Delhi,Delhi,India,1245,Flight,Work
1001,2025-03-10 21:00:00,Visakhapatnam,Andhra Pradesh,India,Surat,Gujarat,India,1382,Car,Work
1001,2025-03-16 01:00:00,Ahmedabad,Gujarat,India,Raipur,Chhattisgarh,India,576,Bus,Work
1001,2025-03-17 03:00:00,Chandigarh,Chandigarh,India,Bengaluru,Karnataka,India,1475,Car,Return Trip
1001,2025-03-21 12:00:00,Lucknow,Uttar Pradesh,India,Thiruvananthapuram,Kerala,India,926,Bus,Tourism
1001,2025-03-25 19:00:00,Hyderabad,Telangana,India,Pune,Maharashtra,India,894,Car,Family Visit
1001,2025-03-29 04:00:00,Bhopal,Madhya Pradesh,India,Lucknow,Uttar Pradesh,India,1102,Bus,Business
1001,2025-04-03 13:00:00,Goa,Goa,India,Bhopal,Madhya Pradesh,India,620,Flight,Leisure
1001,2025-04-06 22:00:00,Kolkata,West Bengal,India,Patna,Bihar,India,887,Car,Business
1001,2025-04-12 03:00:00,Shimla,Himachal Pradesh,India,Nagpur,Maharashtra,India,1177,Car,Work
1001,2025-04-17 04:00:00,Guwahati,Assam,India,Jaipur,Rajasthan,India,430,Flight,Business
1001,2025-04-22 11:00:00,Goa,Goa,India,Shimla,Himachal Pradesh,India,125,Car,Tourism
1001,2025-04-23 19:00:00,Jaipur,Rajasthan,India,Indore,Madhya Pradesh,India,1257,Bus,Leisure
1001,2025-04-27 02:00:00,Varanasi,Uttar Pradesh,India,Raipur,Chhattisgarh,India,159,Train,Trekking
1001,2025-05-02 10:00:00,Lucknow,Uttar Pradesh,India,Pune,Maharashtra,India,1011,Train,Trekking
1001,2025-05-07 13:00:00,Bhubaneswar,Odisha,India,Goa,Goa,India,364,Train,Family Visit
1001,2025-05-09 18:00:00,Ranchi,Jharkhand,India,Goa,Goa,India,1166,Bus,Leisure
1001,2025-05-15 04:00:00,Guwahati,Assam,India,Kolkata,West Bengal,India,775,Train,Trekking
1001,2025-05-20 08:00:00,Ranchi,Jharkhand,India,Lucknow,Uttar Pradesh,India,1480,Train,Trekking
1001,2025-05-21 12:00:00,Ranchi,Jharkhand,India,Jodhpur,Rajasthan,India,1216,Flight,Work
1001,2025-05-26 14:00:00,Goa,Goa,India,Ahmedabad,Gujarat,India,427,Flight,Business
1001,2025-05-29 20:00:00,Shimla,Himachal Pradesh,India,Indore,Madhya Pradesh,India,238,Flight,Business
1001,2025-06-03 00:00:00,Patna,Bihar,India,Thiruvananthapuram,Kerala,India,931,Flight,Business
1001,2025-06-06 06:00:00,Chandigarh,Chandigarh,India,Jaipur,Rajasthan,India,416,Bus,Family Visit
1001,2025-06-09 09:00:00,Jaipur,Rajasthan,India,Guwahati,Assam,India,1435,Car,Trekking
1001,2025-06-13 16:00:00,Shimla,Himachal Pradesh,India,Pune,Maharashtra,India,670,Flight,Leisure
1001,2025-06-15 21:00:00,Ahmedabad,Gujarat,India,Jodhpur,Rajasthan,India,556,Train,Business
1001,2025-06-20 06:00:00,Bhopal,Madhya Pradesh,India,Amritsar,Punjab,India,1444,Bus,Tourism
1001,2025-06-24 16:00:00,New Delhi,Delhi,India,Indore,Madhya Pradesh,India,1264,Train,Return Trip
1001,2025-06-29 23:00:00,Hyderabad,Telangana,India,New Delhi,Delhi,India,555,Train,Family Visit
1001,2025-07-03 03:00:00,Bengaluru,Karnataka,India,Kolkata,West Bengal,India,899,Train,Trekking
1001,2025-07-06 10:00:00,Ranchi,Jharkhand,India,Mumbai,Maharashtra,India,249,Bus,Tourism
1001,2025-07-11 13:00:00,Shimla,Himachal Pradesh,India,Chandigarh,Chandigarh,India,1060,Train,Trekking
1001,2025-07-12 18:00:00,Jodhpur,Rajasthan,India,Pune,Maharashtra,India,307,Train,Leisure
1001,2025-07-17 20:00:00,Indore,Madhya Pradesh,India,Jaipur,Rajasthan,India,1011,Train,Leisure
1001,2025-07-19 05:00:00,Chandigarh,Chandigarh,India,Goa,Goa,India,995,Train,Return Trip
1001,2025-07-20 12:00:00,Goa,Goa,India,Kolkata,West Bengal,India,889,Car,Tourism
1001,2025-07-21 22:00:00,Amritsar,Punjab,India,Manali,Himachal Pradesh,India,1103,Bus,Work
1001,2025-07-26 03:00:00,Dehradun,Uttarakhand,India,Nagpur,Maharashtra,India,1413,Bus,Business
1001,2025-07-30 09:00:00,Raipur,Chhattisgarh,India,Chandigarh,Chandigarh,India,895,Bus,Tourism
1001,2025-08-02 17:00:00,Varanasi,Uttar Pradesh,India,Surat,Gujarat,India,575,Flight,Family Visit
1001,2025-08-03 22:00:00,Raipur,Chhattisgarh,India,Thiruvananthapuram,Kerala,India,137,Car,Family Visit
1001,2025-08-08 05:00:00,Indore,Madhya Pradesh,India,Bhopal,Madhya Pradesh,India,1046,Flight,Family Visit
1001,2025-08-10 14:00:00,Patna,Bihar,India,Ahmedabad,Gujarat,India,1430,Flight,Work
1001,2025-08-12 00:00:00,New Delhi,Delhi,India,Visakhapatnam,Andhra Pradesh,India,339,Train,Trekking
1001,2025-08-17 09:00:00,Varanasi,Uttar Pradesh,India,Nagpur,Maharashtra,India,309,Flight,Return Trip
1001,2025-08-22 14:00:00,Visakhapatnam,Andhra Pradesh,India,Guwahati,Assam,India,711,Train,Business
1001,2025-08-26 15:00:00,Raipur,Chhattisgarh,India,Pune,Maharashtra,India,80,Flight,Work
1001,2025-08-30 20:00:00,Chennai,Tamil Nadu,India,Dehradun,Uttarakhand,India,1299,Bus,Family Visit
1002,2025-03-03 14:00:00,Lucknow,Uttar Pradesh,India,Guwahati,Assam,India,1396,Car,Business
1002,2025-03-04 17:00:00,Kolkata,West Bengal,India,Guwahati,Assam,India,501,Bus,Work
1002,2025-03-08 19:00:00,Mumbai,Maharashtra,India,Surat,Gujarat,India,264,Flight,Trekking
1002,2025-03-13 20:00:00,Thiruvananthapuram,Kerala,India,Jaipur,Rajasthan,India,1238,Bus,Return Trip
1002,2025-03-16 04:00:00,Surat,Gujarat,India,Amritsar,Punjab,India,1130,Train,Return Trip
1002,2025-03-20 05:00:00,Hyderabad,Telangana,India,Mumbai,Maharashtra,India,373,Bus,Return Trip
1002,2025-03-25 15:00:00,Guwahati,Assam,India,Mumbai,Maharashtra,India,159,Flight,Tourism
1002,2025-03-27 18:00:00,Agra,Uttar Pradesh,India,Dehradun,Uttarakhand,India,621,Car,Tourism
1002,2025-04-02 01:00:00,Guwahati,Assam,India,Manali,Himachal Pradesh,India,1008,Bus,Work
1002,2025-04-04 10:00:00,Ahmedabad,Gujarat,India,Varanasi,Uttar Pradesh,India,1274,Train,Trekking
1002,2025-04-08 11:00:00,Guwahati,Assam,India,Dehradun,Uttarakhand,India,228,Bus,Family Visit
1002,2025-04-09 16:00:00,Guwahati,Assam,India,Nagpur,Maharashtra,India,370,Bus,Business
1002,2025-04-14 17:00:00,Agra,Uttar Pradesh,India,Bhubaneswar,Odisha,India,1165,Bus,Family Visit
1002,2025-04-18 03:00:00,Hyderabad,Telangana,India,Guwahati,Assam,India,466,Train,Return Trip
1002,2025-04-22 12:00:00,Patna,Bihar,India,Nagpur,Maharashtra,India,208,Car,Leisure
1002,2025-04-26 15:00:00,Ranchi,Jharkhand,India,Visakhapatnam,Andhra Pradesh,India,934,Flight,Leisure
1002,2025-04-29 23:00:00,Indore,Madhya Pradesh,India,Goa,Goa,India,368,Flight,Leisure
1002,2025-05-04 08:00:00,Chennai,Tamil Nadu,India,Goa,Goa,India,1258,Bus,Trekking
1002,2025-05-05 10:00:00,Bhopal,Madhya Pradesh,India,Thiruvananthapuram,Kerala,India,866,Flight,Return Trip
1002,2025-05-10 17:00:00,Surat,Gujarat,India,Kolkata,West Bengal,India,197,Train,Business
1002,2025-05-15 18:00:00,Chandigarh,Chandigarh,India,Ahmedabad,Gujarat,India,1395,Train,Return Trip
1002,2025-05-20 20:00:00,Jaipur,Rajasthan,India,Ahmedabad,Gujarat,India,1317,Car,Trekking
1002,2025-05-26 04:00:00,Agra,Uttar Pradesh,India,Indore,Madhya Pradesh,India,291,Car,Family Visit
1002,2025-05-28 12:00:00,New Delhi,Delhi,India,Lucknow,Uttar Pradesh,India,763,Train,Family Visit
1002,2025-05-29 19:00:00,Amritsar,Punjab,India,Chandigarh,Chandigarh,India,987,Bus,Return Trip
1002,2025-05-31 23:00:00,New Delhi,Delhi,India,Indore,Madhya Pradesh,India,971,Flight,Trekking
1002,2025-06-03 02:00:00,Bengaluru,Karnataka,India,Hyderabad,Telangana,India,895,Car,Tourism
1002,2025-06-06 11:00:00,Ahmedabad,Gujarat,India,Surat,Gujarat,India,957,Bus,Tourism
1002,2025-06-11 16:00:00,Surat,Gujarat,India,Chandigarh,Chandigarh,India,681,Bus,Tourism
1002,2025-06-13 00:00:00,Jodhpur,Rajasthan,India,Chandigarh,Chandigarh,India,460,Bus,Business
1002,2025-06-14 08:00:00,Guwahati,Assam,India,Pune,Maharashtra,India,792,Car,Trekking
1002,2025-06-17 11:00:00,Goa,Goa,India,Jaipur,Rajasthan,India,1347,Flight,Family Visit
1002,2025-06-19 13:00:00,Mumbai,Maharashtra,India,Visakhapatnam,Andhra Pradesh,India,209,Flight,Return Trip
1002,2025-06-21 22:00:00,Indore,Madhya Pradesh,India,Amritsar,Punjab,India,1057,Train,Return Trip
1002,2025-06-27 01:00:00,Chennai,Tamil Nadu,India,Patna,Bihar,India,542,Bus,Tourism
1002,2025-06-29 11:00:00,Dehradun,Uttarakhand,India,Jaipur,Rajasthan,India,729,Bus,Tourism
1002,2025-07-03 12:00:00,Lucknow,Uttar Pradesh,India,Ahmedabad,Gujarat,India,201,Bus,Return Trip
1002,2025-07-05 16:00:00,Goa,Goa,India,Agra,Uttar Pradesh,India,616,Bus,Return Trip
1002,2025-07-08 23:00:00,Chandigarh,Chandigarh,India,Bengaluru,Karnataka,India,354,Bus,Work
1002,2025-07-13 01:00:00,Manali,Himachal Pradesh,India,Kolkata,West Bengal,India,755,Car,Trekking
